User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product Category,Orders,Amount,Status,unnamed1
1001088,Phan,P00304142,F,<17,16,1,Uttar Pradesh,Central,Chemical,Furniture,3,20205,,
1001499,Caffey,P00338442,F,<17,12,0,Uttar Pradesh,Central,Aviation,Furniture,2,19991,,
1000737,Steven,P00087042,M,<17,13,1,Delhi,Central,Chemical,Food,1,19695,,
1005390,Naresj,P00326242,F,<17,13,1,Madhya Pradesh,Central,IT Sector,Food,3,19308,,
1002052,Cynthia,P00250342,M,<17,15,0,Madhya Pradesh,Central,Retail,Food,1,19283,,
1004606,Mitali,P00250242,M,<17,16,0,Uttar Pradesh,Central,Healthcare,Food,4,19029,,
1000075,Ted,P00137642,M,<17,15,0,Uttar Pradesh,Central,Govt,Furniture,1,16662,,
1000866,Dartt,P00035542,F,<17,12,0,Uttar Pradesh,Central,Healthcare,Food,4,15880,,
1002235,Kishwar,P0097842,M,<17,16,0,Uttar Pradesh,Central,Healthcare,Food,1,15721,,
1005074,MacKendrick,P00177342,F,<17,17,1,Delhi,Central,Aviation,Food,4,15697,,
1005247,Blumstein,P00250342,M,<17,15,1,Madhya Pradesh,Central,Media,Food,3,15688,,
1002858,Adhvaita,P00034442,M,<17,16,1,Madhya Pradesh,Central,Healthcare,Food,4,15676,,
1002236,Sharda,P00364242,F,<17,12,0,Uttar Pradesh,Central,IT Sector,Food,1,15624,,
1000762,Ducich,P00127442,F,<17,17,1,Uttar Pradesh,Central,Lawyer,Food,3,15605,,
1001372,Cheatham,P00157142,F,<17,13,1,Madhya Pradesh,Central,Agriculture,Food,3,15564,,
1001978,Sathya,P00183242,F,<17,14,0,Uttar Pradesh,Central,Retail,Food,3,15488,,
1002162,Butterfield,P00192242,M,<17,15,0,Uttar Pradesh,Central,IT Sector,Food,4,15451,,
1003904,Dickinson,P00214642,M,<17,14,0,Madhya Pradesh,Central,Retail,Food,3,15286,,
1005255,Liston,P00304042,F,<17,16,0,Uttar Pradesh,Central,Hospitality,Food,2,15169,,
1003087,Phillina,P00034042,M,<17,15,0,Uttar Pradesh,Central,Healthcare,Stationery,2,13250,,
1001096,Joy,P00035242,F,<17,16,1,Madhya Pradesh,Central,Banking,Sports Products,4,13218,,
1000829,Pranav,P00145842,M,<17,15,1,Uttar Pradesh,Central,IT Sector,Games & Toys,2,12713,,
1005114,Zic,P00025642,M,<17,16,1,Uttarakhand,Central,Chemical,Footwear & Shoes,2,12162,,
1001948,Jennifer,P00303442,M,<17,17,1,Uttar Pradesh,Central,Healthcare,Food,2,12120,,
1001926,Barton,P00117442,M,<17,15,0,Madhya Pradesh,Central,Media,Food,1,12108,,
1005296,Sanjna,P00033542,M,<17,15,1,Delhi,Central,Aviation,Food,4,12099,,
1001182,Zypern,P00361842,F,<17,14,0,Uttar Pradesh,Central,Chemical,Food,4,12010,,
1000153,Adams,P00366242,F,<17,15,0,Delhi,Central,IT Sector,Food,2,11846,,
1001280,Utsav,P00249142,F,<17,12,0,Uttar Pradesh,Central,Chemical,Food,2,11722,,
1002137,Nishi,P00370242,M,<17,13,0,Delhi,Central,Lawyer,Food,2,11556,,
1002288,Mansi,P00110742,F,<17,16,1,Uttar Pradesh,Central,Govt,Food,4,11468,,
1002346,Sahil,P00145042,M,<17,12,0,Uttar Pradesh,Central,Lawyer,Food,4,11454,,
1001220,Nelson,P00103042,F,<17,12,1,Madhya Pradesh,Central,Govt,Games & Toys,3,10051,,
1004572,Cassandra,P00191642,M,<17,13,1,Madhya Pradesh,Central,Lawyer,Electronics & Gadgets,2,9995,,
1003604,Molinari,P00139942,F,<17,15,0,Uttar Pradesh,Central,IT Sector,Electronics & Gadgets,1,9862,,
1002195,Shatayu,P00000842,M,<17,15,1,Uttar Pradesh,Central,IT Sector,Electronics & Gadgets,2,9770,,
1002657,Dennis,P0097942,F,<17,17,0,Madhya Pradesh,Central,Chemical,Electronics & Gadgets,2,9733,,
1006006,Triggs,P00058342,M,<17,16,1,Uttar Pradesh,Central,Automobile,Footwear & Shoes,4,8862,,
1005558,Rupert,P00042142,F,<17,15,1,Uttar Pradesh,Central,Healthcare,Clothing & Apparel,3,8808,,
1001296,Nunn,P00270242,F,<17,15,0,Uttar Pradesh,Central,Govt,Clothing & Apparel,4,8615,,
1000940,Haines,P00184942,F,<17,14,1,Uttarakhand,Central,Aviation,Electronics & Gadgets,3,8118,,
1001929,Berenike,P00237642,M,<17,15,0,Madhya Pradesh,Central,Aviation,Electronics & Gadgets,2,8103,,
1000349,Priyanshu,P00148642,F,<17,12,1,Uttar Pradesh,Central,Banking,Electronics & Gadgets,3,8060,,
1005840,Glassco,P00245642,M,<17,13,1,Madhya Pradesh,Central,IT Sector,Electronics & Gadgets,4,8051,,
1001300,Bellavance,P00116742,F,<17,17,0,Uttar Pradesh,Central,IT Sector,Electronics & Gadgets,1,7956,,
1005302,Dan,P00144042,M,<17,16,1,Madhya Pradesh,Central,Automobile,Electronics & Gadgets,1,7949,,
1001241,Amol,P00062842,F,<17,14,0,Uttar Pradesh,Central,Govt,Food,3,7935,,
1000884,Dawkins,P00307542,M,<17,16,1,Madhya Pradesh,Central,IT Sector,Food,3,7754,,
1002060,Lynn,P00278642,F,<17,16,1,Uttar Pradesh,Central,Govt,Food,2,7668,,
1005555,Mahima,P00110842,F,<17,16,1,Uttar Pradesh,Central,Automobile,Beauty,1,7625,,
1002166,Laurel,P00010942,F,<17,12,1,Uttarakhand,Central,Healthcare,Clothing & Apparel,1,7182,,
1005989,Chuck,P00036542,F,<17,15,0,Uttar Pradesh,Central,Aviation,Clothing & Apparel,1,7144,,
1000634,Shillingsburg,P00198142,F,<17,16,1,Uttar Pradesh,Central,Hospitality,Clothing & Apparel,3,7089,,
1002806,Vivek,P00085942,M,<17,13,1,Delhi,Central,Aviation,Clothing & Apparel,3,7048,,
1000086,Budd,P00242742,M,<17,15,0,Uttar Pradesh,Central,IT Sector,Clothing & Apparel,3,7037,,
1002810,Susan,P00051142,M,<17,17,0,Uttar Pradesh,Central,Banking,Clothing & Apparel,1,6920,,
1000743,Sumrall,P00150542,F,<17,15,0,Uttar Pradesh,Central,Automobile,Clothing & Apparel,4,6890,,
1004256,Crebassa,P00346242,M,<17,17,0,Madhya Pradesh,Central,Healthcare,Electronics & Gadgets,2,6135,,
1005716,Wallace,P00102642,F,<17,15,0,Uttar Pradesh,Central,Aviation,Sports Products,1,5445,,
1001434,Steven,P00126242,M,<17,15,0,Madhya Pradesh,Central,Healthcare,Clothing & Apparel,4,5268,,
1001200,Brandow,P00307542,F,<17,17,0,Madhya Pradesh,Central,Chemical,Beauty,1,4598,,
1001425,Sudevi,P00153742,F,<17,15,1,Madhya Pradesh,Central,Hospitality,Beauty,2,4553,,
1002042,DeVincentis,P00002442,F,<17,15,0,Uttar Pradesh,Central,Healthcare,Food,1,4217,,
1005063,Dhanraj,P00241642,M,<17,16,0,Delhi,Central,Food Processing,Electronics & Gadgets,2,4174,,
1005768,Bühler,P00288442,M,<17,16,0,Madhya Pradesh,Central,Banking,Clothing & Apparel,4,3697,,
1004478,Flentye,P00108942,M,<17,13,1,Delhi,Central,Aviation,Clothing & Apparel,1,3669,,
1001195,Burns,P00317842,F,<17,17,1,Madhya Pradesh,Central,Hospitality,Beauty,4,3201,,
1004006,Pratiksha,P00182242,F,<17,16,0,Uttar Pradesh,Central,Aviation,Household items,2,2393,,
1004135,Jayanti,P00229742,F,<17,12,0,Delhi,Central,Aviation,Office,1,952,,
1001054,Cunningham,P00144242,M,<17,15,0,Uttarakhand,Central,IT Sector,Household items,4,897,,
1001935,Logan,P00332842,F,<17,13,0,Bihar,Eastern,Retail,Food,4,19133,,
1002079,Maris,P00138442,F,<17,15,0,Bihar,Eastern,Media,Furniture,3,16042,,
1000490,Lloyd,P00110742,F,<17,16,1,Bihar,Eastern,Hospitality,Sports Products,4,13650,,
1005459,Skye,P00230342,M,<17,15,0,Jharkhand,Eastern,Healthcare,Food,2,11973,,
1004541,Blumstein,P00166942,F,<17,17,1,Jharkhand,Eastern,Hospitality,Food,2,11724,,
1000580,Maxwell,P00321042,M,<17,16,1,Jharkhand,Eastern,Banking,Games & Toys,3,10114,,
1001198,Meg,P00208342,M,<17,16,1,Bihar,Eastern,Media,Food,2,7822,,
1005756,Steve,P00176842,F,<17,16,0,Jharkhand,Eastern,Construction,Electronics & Gadgets,2,7808,,
1003573,Hoffman,P00193642,F,<17,17,0,Jharkhand,Eastern,Hospitality,Clothing & Apparel,4,7035,,
1005777,Laura,P00125142,M,<17,13,1,Jharkhand,Eastern,Construction,Electronics & Gadgets,2,5996,,
1003594,Myrick,P00194442,F,<17,12,0,Jharkhand,Eastern,Healthcare,Clothing & Apparel,3,5396,,
1004102,Cousins,P00233142,F,<17,12,1,Bihar,Eastern,Media,Clothing & Apparel,3,5211,,
1001366,Muhammed,P00296042,M,<17,14,0,Jharkhand,Eastern,Construction,Pet Care,1,2130,,
1001154,Ashmeet,P00154642,F,<17,13,0,Rajasthan,Northern,Govt,Food,2,19684,,
1002910,Murray,P00100942,F,<17,14,1,Haryana,Northern,Agriculture,Furniture,1,16456,,
1002045,Pryor,P00146242,F,<17,12,1,Himachal Pradesh,Northern,IT Sector,Clothing & Apparel,3,8847,,
1003046,Parth,P00074642,F,<17,15,1,Punjab,Northern,Media,Clothing & Apparel,2,8646,,
1005524,Shreyshi,P00202542,F,<17,17,1,Punjab,Northern,IT Sector,Electronics & Gadgets,2,8134,,
1004764,Preis,P00321742,M,<17,17,1,Himachal Pradesh,Northern,IT Sector,Electronics & Gadgets,4,8128,,
1001468,Meade,P00016042,M,<17,16,0,Punjab,Northern,Healthcare,Electronics & Gadgets,2,8116,,
1000753,Hernandez,P00255842,F,<17,12,0,Rajasthan,Northern,Govt,Electronics & Gadgets,1,7801,,
1005803,Sayre,P00025442,M,<17,17,1,Himachal Pradesh,Northern,IT Sector,Clothing & Apparel,3,7184,,
1000926,Rosenberg,P00085942,F,<17,14,0,Himachal Pradesh,Northern,Hospitality,Clothing & Apparel,3,6978,,
1005411,Pelletier,P00276642,M,<17,12,0,Haryana,Northern,Banking,Food,3,4450,,
1005403,Caroline,P00195742,M,<17,12,1,Haryana,Northern,Healthcare,Food,1,4014,,
1003780,Roberts,P00102342,M,<17,17,0,Himachal Pradesh,Northern,Govt,Household items,3,3126,,
1002047,Huffman,P00057742,F,<17,13,1,Haryana,Northern,Healthcare,Clothing & Apparel,3,1748,,
1000745,Murry,P00113242,F,<17,13,0,Haryana,Northern,Aviation,Clothing & Apparel,1,1735,,
1002168,Hightower,P00145842,M,<17,17,1,Himachal Pradesh,Northern,Agriculture,Office,4,560,,
1005757,Talbott,P00051442,M,<17,16,1,Kerala,Southern,Construction,Food,1,19696,,
1001563,Subhasmita,P00361842,M,<17,16,1,Andhra Pradesh,Southern,Hospitality,Food,3,19425,,
